nc,kc,mc,mr,nr,mv,nu,time
512,64,128,8,32,2,4,108.422323
512,64,128,8,32,2,8,117.00374533333333
512,64,128,8,32,2,16,104.78873766666666
512,64,128,8,32,4,2,113.71177000000002
512,64,128,8,32,4,4,108.57398466666666
512,64,128,8,32,4,8,109.82878666666666
512,64,128,8,32,4,16,103.10747533333334
512,64,128,8,32,8,2,113.76241799999998
512,64,128,8,32,8,4,109.25552666666665
512,64,128,8,32,8,8,111.74424933333333
512,64,128,8,32,8,16,116.14807466666666
512,64,128,16,2,2,2,67.69157666666668
512,64,128,16,2,4,2,57.072084999999994
512,64,128,16,2,8,2,60.310506
512,64,128,16,2,16,2,65.85322433333333
512,64,128,16,4,2,2,115.89139300000001
512,64,128,16,4,2,4,118.71260233333334
512,64,128,16,4,4,2,119.72637700000001
512,64,128,16,4,4,4,117.94422533333335
512,64,128,16,4,8,2,120.03569133333333
512,64,128,16,4,8,4,117.09803933333333
512,64,128,16,4,16,2,126.75363866666666
512,64,128,16,4,16,4,140.468866
512,64,128,16,8,2,2,113.22378533333334
512,64,128,16,8,2,4,110.46007866666667
512,64,128,16,8,2,8,112.20206266666665
512,64,128,16,8,4,2,106.55135933333332
512,64,128,16,8,4,4,117.889325
512,64,128,16,8,4,8,112.22317333333335
512,64,128,16,8,8,2,108.95070133333334
512,64,128,16,8,8,4,117.27554299999998
512,64,128,16,8,8,8,101.26896500000001
512,64,128,16,8,16,2,110.41403433333333
512,64,128,16,8,16,4,120.532926
512,64,128,16,8,16,8,98.87064466666665
512,64,128,16,16,2,2,115.49359833333334
512,64,128,16,16,2,4,112.08598833333332
512,64,128,16,16,2,8,100.950166
512,64,128,16,16,2,16,105.74486966666667
512,64,128,16,16,4,2,107.192432
512,64,128,16,16,4,4,113.87085700000002
512,64,128,16,16,4,8,115.64959266666665
512,64,128,16,16,4,16,103.174104
512,64,128,16,16,8,2,107.871378
512,64,128,16,16,8,4,116.82202799999999
512,64,128,16,16,8,8,102.936131
512,64,128,16,16,8,16,107.50436266666668
512,64,128,16,16,16,2,110.36488733333334
512,64,128,16,16,16,4,124.001853
512,64,128,16,16,16,8,105.00480200000001
512,64,128,16,16,16,16,103.74239
512,64,128,16,32,2,2,105.43083566666667
512,64,128,16,32,2,4,117.41979433333334
512,64,128,16,32,2,8,103.77400666666666
512,64,128,16,32,2,16,107.78228566666667
512,64,128,16,32,4,2,102.13920066666665
512,64,128,16,32,4,4,113.01492566666666
512,64,128,16,32,4,8,108.59864099999999
512,64,128,16,32,4,16,101.12263266666666
512,64,128,16,32,8,2,102.26299933333333
512,64,128,16,32,8,4,116.15173066666668
512,64,128,16,32,8,8,110.647595
512,64,128,16,32,8,16,97.60181333333334
512,64,128,16,32,16,2,104.95799233333334
512,64,128,16,32,16,4,113.65692433333335
512,64,128,16,32,16,8,103.70047533333333
512,64,128,16,32,16,16,100.56986999999998
512,64,128,32,2,2,2,120.93228733333335
512,64,128,32,2,4,2,132.080739
512,64,128,32,2,8,2,132.47850766666664
512,64,128,32,2,16,2,129.23807266666665
512,64,128,32,4,2,2,121.00812666666666
512,64,128,32,4,2,4,101.51431533333334
512,64,128,32,4,4,2,126.88564133333335
512,64,128,32,4,4,4,104.55445500000002
512,64,128,32,4,8,2,125.80010333333334
512,64,128,32,4,8,4,106.32045099999999
512,64,128,32,4,16,2,119.90950766666666
512,64,128,32,4,16,4,112.38742400000001
512,64,128,32,8,2,2,129.09715266666666
512,64,128,32,8,2,4,108.60480066666666
512,64,128,32,8,2,8,100.747713
512,64,128,32,8,4,2,133.674378
512,64,128,32,8,4,4,108.21424033333332
512,64,128,32,8,4,8,107.20790333333333
512,64,128,32,8,8,2,119.83462400000002
512,64,128,32,8,8,4,110.78460733333331
512,64,128,32,8,8,8,137.05107
512,64,128,32,8,16,2,134.77125
512,64,128,32,8,16,4,131.362997
512,64,128,32,8,16,8,99.918673
512,64,128,32,16,2,2,120.89166400000002
512,64,128,32,16,2,4,103.18121266666667
512,64,128,32,16,2,8,112.56442533333335
512,64,128,32,16,2,16,98.77077833333333
512,64,128,32,16,4,2,128.97374166666665
512,64,128,32,16,4,4,106.49064366666666
512,64,128,32,16,4,8,119.57178800000001
512,64,128,32,16,4,16,95.52082233333333
512,64,128,32,16,8,2,132.59695633333334
512,64,128,32,16,8,4,106.68671866666666
512,64,128,32,16,8,8,114.83450966666666
512,64,128,32,16,8,16,94.262715
512,64,128,32,16,16,2,121.65786766666666
512,64,128,32,16,16,4,144.63442899999998
512,64,128,32,16,16,8,138.794165
512,64,128,32,16,16,16,117.351734
512,64,128,32,32,2,2,117.803951
512,64,128,32,32,2,4,110.47329233333333
512,64,128,32,32,2,8,118.25298566666667
512,64,128,32,32,2,16,101.04211766666666
512,64,128,32,32,4,2,135.25687200000002
512,64,128,32,32,4,4,102.90175466666666
512,64,128,32,32,4,8,106.996493
512,64,128,32,32,4,16,99.01674133333334
512,64,128,32,32,8,2,134.42744466666664
512,64,128,32,32,8,4,109.84401833333332
512,64,128,32,32,8,8,107.88965833333333
512,64,128,32,32,8,16,98.086429
512,64,128,32,32,16,2,115.91246933333333
512,64,128,32,32,16,4,136.574123
512,64,128,32,32,16,8,100.99631333333333
512,64,128,32,32,16,16,97.875219
512,64,256,2,2,2,2,90.73049333333334
512,64,256,2,4,2,2,165.663383
512,64,256,2,4,2,4,69.341168
512,64,256,2,8,2,2,126.46980633333332
512,64,256,2,8,2,4,135.859665
512,64,256,2,8,2,8,60.17892500000001
512,64,256,2,16,2,2,136.70859666666666
512,64,256,2,16,2,4,146.70739966666667
512,64,256,2,16,2,8,145.13678766666663
512,64,256,2,16,2,16,69.37834033333333
512,64,256,2,32,2,2,125.09307966666665
512,64,256,2,32,2,4,120.543841
512,64,256,2,32,2,8,138.64563066666668
512,64,256,2,32,2,16,132.11919733333335
512,64,256,4,2,2,2,75.463172
512,64,256,4,2,4,2,75.78660866666668
512,64,256,4,4,2,2,61.54414766666666
512,64,256,4,4,2,4,51.942451
512,64,256,4,4,4,2,133.12868166666667
512,64,256,4,4,4,4,51.835237666666664
512,64,256,4,8,2,2,47.67605066666667
512,64,256,4,8,2,4,49.913008
512,64,256,4,8,2,8,50.262629000000004
512,64,256,4,8,4,2,122.09620833333334
512,64,256,4,8,4,4,128.191369
512,64,256,4,8,4,8,48.935339
512,64,256,4,16,2,2,123.321495
512,64,256,4,16,2,4,118.03425566666665
512,64,256,4,16,2,8,117.33727800000001
512,64,256,4,16,2,16,125.0120563333333
512,64,256,4,16,4,2,120.47213033333334
512,64,256,4,16,4,4,118.07954233333332
512,64,256,4,16,4,8,117.962885
512,64,256,4,16,4,16,116.786769
512,64,256,4,32,2,2,116.99154066666667
512,64,256,4,32,2,4,115.80643966666665
512,64,256,4,32,2,8,117.03181466666666
512,64,256,4,32,2,16,123.59564366666666
512,64,256,4,32,4,2,117.00156166666667
512,64,256,4,32,4,4,115.79508333333331
512,64,256,4,32,4,8,117.996641
512,64,256,4,32,4,16,112.79198933333333
512,64,256,8,2,2,2,64.63977133333334
512,64,256,8,2,4,2,58.90603266666666
512,64,256,8,2,8,2,66.35939433333334
512,64,256,8,4,2,2,50.19828966666667
512,64,256,8,4,2,4,50.92590833333334
512,64,256,8,4,4,2,50.48134366666667
512,64,256,8,4,4,4,51.254409
512,64,256,8,4,8,2,124.42764100000001
512,64,256,8,4,8,4,51.06270966666666
512,64,256,8,8,2,2,117.36433299999999
512,64,256,8,8,2,4,111.89820766666666
512,64,256,8,8,2,8,109.37482733333333
512,64,256,8,8,4,2,117.02199266666665
512,64,256,8,8,4,4,111.415292
512,64,256,8,8,4,8,105.51552733333332
512,64,256,8,8,8,2,115.19101799999999
512,64,256,8,8,8,4,112.103653
512,64,256,8,8,8,8,127.48765599999999
512,64,256,8,16,2,2,113.37751766666668
512,64,256,8,16,2,4,108.02965033333334
512,64,256,8,16,2,8,114.855244
512,64,256,8,16,2,16,108.637884
512,64,256,8,16,4,2,113.285955
512,64,256,8,16,4,4,108.22861
512,64,256,8,16,4,8,111.24925033333334
512,64,256,8,16,4,16,100.22973433333333
512,64,256,8,16,8,2,113.09596766666667
512,64,256,8,16,8,4,108.401331
512,64,256,8,16,8,8,106.82366366666666
512,64,256,8,16,8,16,106.41538633333333
512,64,256,8,32,2,2,113.03270499999999
512,64,256,8,32,2,4,105.41500066666666
512,64,256,8,32,2,8,118.99386600000001
512,64,256,8,32,2,16,105.21799866666667
512,64,256,8,32,4,2,112.71235066666668
512,64,256,8,32,4,4,105.60041199999999
512,64,256,8,32,4,8,108.77553133333333
512,64,256,8,32,4,16,103.54234933333332
512,64,256,8,32,8,2,112.96328866666668
512,64,256,8,32,8,4,105.69767033333335
512,64,256,8,32,8,8,111.75176900000001
512,64,256,8,32,8,16,116.29684799999998
512,64,256,16,2,2,2,58.87937066666665
512,64,256,16,2,4,2,63.41943900000001
512,64,256,16,2,8,2,60.845458
512,64,256,16,2,16,2,59.14985066666668
512,64,256,16,4,2,2,121.50414033333332
512,64,256,16,4,2,4,121.83357966666668
512,64,256,16,4,4,2,119.49114766666666
512,64,256,16,4,4,4,120.76084633333332
512,64,256,16,4,8,2,118.95626800000001
512,64,256,16,4,8,4,116.39693666666666
512,64,256,16,4,16,2,116.09150966666668
512,64,256,16,4,16,4,117.25001166666664
512,64,256,16,8,2,2,104.82816666666668
512,64,256,16,8,2,4,116.43791600000002
512,64,256,16,8,2,8,96.37242033333334
512,64,256,16,8,4,2,106.36169933333333
512,64,256,16,8,4,4,117.051558
512,64,256,16,8,4,8,100.43295466666667
512,64,256,16,8,8,2,105.694663
512,64,256,16,8,8,4,117.36366966666668
512,64,256,16,8,8,8,100.52606066666667
512,64,256,16,8,16,2,113.25667433333334
512,64,256,16,8,16,4,115.92227333333334
512,64,256,16,8,16,8,129.10265966666665
512,64,256,16,16,2,2,103.953348
512,64,256,16,16,2,4,116.96200833333332
512,64,256,16,16,2,8,96.77890666666666
512,64,256,16,16,2,16,105.31914033333334
512,64,256,16,16,4,2,106.538713
512,64,256,16,16,4,4,113.61463633333332
512,64,256,16,16,4,8,114.45977399999998
512,64,256,16,16,4,16,102.469355
512,64,256,16,16,8,2,106.316973
512,64,256,16,16,8,4,127.83869166666666
512,64,256,16,16,8,8,102.79625
512,64,256,16,16,8,16,107.29859266666668
512,64,256,16,16,16,2,103.79544266666666
512,64,256,16,16,16,4,131.85175666666666
512,64,256,16,16,16,8,102.89834766666667
512,64,256,16,16,16,16,103.72073366666667
512,64,256,16,32,2,2,101.51028633333335
512,64,256,16,32,2,4,106.61027366666667
512,64,256,16,32,2,8,112.89486099999999
512,64,256,16,32,2,16,110.05479700000001
512,64,256,16,32,4,2,101.635592
512,64,256,16,32,4,4,113.71629466666668
512,64,256,16,32,4,8,109.51932466666665
512,64,256,16,32,4,16,99.916897
512,64,256,16,32,8,2,101.910269
512,64,256,16,32,8,4,115.79475666666666
512,64,256,16,32,8,8,105.277968
512,64,256,16,32,8,16,96.60597299999999
512,64,256,16,32,16,2,104.05054866666667
512,64,256,16,32,16,4,121.378881
512,64,256,16,32,16,8,102.83881699999999
512,64,256,16,32,16,16,99.638965
512,64,256,32,2,2,2,120.88026433333333
512,64,256,32,2,4,2,132.40351066666665
512,64,256,32,2,8,2,132.20357600000003
512,64,256,32,2,16,2,129.71854933333333
512,64,256,32,4,2,2,142.040129
512,64,256,32,4,2,4,101.68660833333333
512,64,256,32,4,4,2,128.278874
512,64,256,32,4,4,4,103.82633200000001
512,64,256,32,4,8,2,119.51158033333336
512,64,256,32,4,8,4,106.806768
512,64,256,32,4,16,2,120.69756433333333
512,64,256,32,4,16,4,112.43332666666666
512,64,256,32,8,2,2,122.66665099999999
512,64,256,32,8,2,4,114.78382700000002
