nc,kc,mc,mr,nr,mv,nu,time
512,64,64,16,32,16,8,188.78079684666665
512,64,64,16,32,16,16,123.49964825666665
512,64,64,32,2,2,2,6.4414596600000005
512,64,64,32,2,4,2,6.4575986599999995
512,64,64,32,2,8,2,6.55237999
512,64,64,32,2,16,2,6.554257323333333
512,64,64,32,4,2,2,64.54019182
512,64,64,32,4,2,4,6.122519643333334
512,64,64,32,4,4,2,20.197705943333332
512,64,64,32,4,4,4,5.221014986666666
512,64,64,32,4,8,2,19.17850529
512,64,64,32,4,8,4,5.977280683333333
512,64,64,32,4,16,2,20.205213776666668
512,64,64,32,4,16,4,52.132429200000004
512,64,64,32,8,2,2,97.83558393
512,64,64,32,8,2,4,9.381936726666666
512,64,64,32,8,2,8,4.970915683333333
512,64,64,32,8,4,2,21.196801023333332
512,64,64,32,8,4,4,9.075079616666667
512,64,64,32,8,4,8,4.835086976666666
512,64,64,32,8,8,2,16.678093959999998
512,64,64,32,8,8,4,9.15889265
512,64,64,32,8,8,8,74.40834963
512,64,64,32,8,16,2,18.156230703333335
512,64,64,32,8,16,4,74.60653893
512,64,64,32,8,16,8,76.08360967333334
512,64,64,32,16,2,2,169.15034201666666
512,64,64,32,16,2,4,8.38653601
512,64,64,32,16,2,8,6.20769135
512,64,64,32,16,2,16,4.88100502
512,64,64,32,16,4,2,20.828717410000003
512,64,64,32,16,4,4,9.209108030000001
512,64,64,32,16,4,8,5.966205686666667
512,64,64,32,16,4,16,57.022756193333336
512,64,64,32,16,8,2,15.86954169
512,64,64,32,16,8,4,8.406569316666667
512,64,64,32,16,8,8,44.58726554333334
512,64,64,32,16,8,16,99.23931641
512,64,64,32,16,16,2,16.84814266
512,64,64,32,16,16,4,141.0823481233333
512,64,64,32,16,16,8,102.38730521666668
512,64,64,32,16,16,16,98.80451835
512,64,64,32,32,2,2,21.766259163333334
512,64,64,32,32,2,4,10.947914743333333
512,64,64,32,32,2,8,6.132670376666668
512,64,64,32,32,2,16,4.837407033333334
512,64,64,32,32,4,2,20.59453003666667
512,64,64,32,32,4,4,9.240796956666667
512,64,64,32,32,4,8,5.85530597
512,64,64,32,32,4,16,29.494466856666666
512,64,64,32,32,8,2,16.116276109999998
512,64,64,32,32,8,4,8.213244093333333
512,64,64,32,32,8,8,72.28132111666667
512,64,64,32,32,8,16,56.604507213333335
512,64,64,32,32,16,2,15.990495316666669
512,64,64,32,32,16,4,234.31461715000003
512,64,64,32,32,16,8,164.37970226666667
512,64,64,32,32,16,16,108.87288537666666
512,64,128,2,2,2,2,46.64793714666667
512,64,128,2,4,2,2,34.78586046666667
512,64,128,2,4,2,4,11.3598746
512,64,128,2,8,2,2,10.74945761
512,64,128,2,8,2,4,26.250389933333334
512,64,128,2,8,2,8,6.685238316666666
512,64,128,2,16,2,2,16.829059190000002
512,64,128,2,16,2,4,17.379886333333335
512,64,128,2,16,2,8,3.782792516666667
512,64,128,2,16,2,16,4.536456153333334
512,64,128,2,32,2,2,16.554244773333334
512,64,128,2,32,2,4,33.03081486666666
512,64,128,2,32,2,8,2.86543952
512,64,128,2,32,2,16,2.8919372166666664
512,64,128,4,2,2,2,12.04365119
512,64,128,4,2,4,2,12.100575063333334
512,64,128,4,4,2,2,6.8927849100000005
512,64,128,4,4,2,4,6.89645991
512,64,128,4,4,4,2,27.079814329999998
512,64,128,4,4,4,4,6.856245146666667
512,64,128,4,8,2,2,5.661982989999999
512,64,128,4,8,2,4,4.45943708
512,64,128,4,8,2,8,4.427768803333334
512,64,128,4,8,4,2,8.510929926666666
512,64,128,4,8,4,4,4.085941460000001
512,64,128,4,8,4,8,4.295205463333334
512,64,128,4,16,2,2,14.702163773333336
512,64,128,4,16,2,4,2.9137430833333333
512,64,128,4,16,2,8,2.866935746666667
512,64,128,4,16,2,16,3.18944476
512,64,128,4,16,4,2,14.686413073333334
512,64,128,4,16,4,4,2.8998807333333336
512,64,128,4,16,4,8,2.9065124066666668
512,64,128,4,16,4,16,56.69785206
512,64,128,4,32,2,2,14.846541969999999
512,64,128,4,32,2,4,3.2953424033333336
512,64,128,4,32,2,8,3.271524723333333
512,64,128,4,32,2,16,4.9329263333333335
512,64,128,4,32,4,2,14.834470663333335
512,64,128,4,32,4,4,3.292916653333333
512,64,128,4,32,4,8,3.3148553166666668
512,64,128,4,32,4,16,30.323358103333334
512,64,128,8,2,2,2,7.6017537
512,64,128,8,2,4,2,7.63750729
512,64,128,8,2,8,2,7.632787293333334
512,64,128,8,4,2,2,4.913378993333334
512,64,128,8,4,2,4,5.435968336666667
512,64,128,8,4,4,2,4.693789669999999
512,64,128,8,4,4,4,5.262696336666666
512,64,128,8,4,8,2,6.471473676666667
512,64,128,8,4,8,4,5.414189343333333
512,64,128,8,8,2,2,3.546502673333333
512,64,128,8,8,2,4,3.5373113399999996
512,64,128,8,8,2,8,29.55388042
512,64,128,8,8,4,2,3.7462653466666676
512,64,128,8,8,4,4,3.8823856800000005
512,64,128,8,8,4,8,3.54138501
512,64,128,8,8,8,2,3.67881934
512,64,128,8,8,8,4,3.7818086733333334
512,64,128,8,8,8,8,74.11439405666667
512,64,128,8,16,2,2,4.134163676666666
512,64,128,8,16,2,4,4.04980334
512,64,128,8,16,2,8,5.030138283333334
512,64,128,8,16,2,16,3.3435046300000004
512,64,128,8,16,4,2,4.122270286666667
512,64,128,8,16,4,4,4.060058286666666
512,64,128,8,16,4,8,4.959357153333333
512,64,128,8,16,4,16,57.64081260333334
512,64,128,8,16,8,2,4.14879333
512,64,128,8,16,8,4,4.05036102
512,64,128,8,16,8,8,48.77114403333333
512,64,128,8,16,8,16,98.78629976333332
512,64,128,8,32,2,2,4.180945166666667
512,64,128,8,32,2,4,4.171246833333333
512,64,128,8,32,2,8,4.579881463333334
512,64,128,8,32,2,16,4.557858796666666
512,64,128,8,32,4,2,4.206640453333334
512,64,128,8,32,4,4,4.199531453333334
512,64,128,8,32,4,8,5.65655984
512,64,128,8,32,4,16,29.84675265
512,64,128,8,32,8,2,4.2040016399999995
512,64,128,8,32,8,4,4.192882056666667
512,64,128,8,32,8,8,75.08480691333332
512,64,128,8,32,8,16,60.21869772000001
512,64,128,16,2,2,2,6.9657477666666665
512,64,128,16,2,4,2,6.965789979999999
512,64,128,16,2,8,2,6.950450646666668
512,64,128,16,2,16,2,6.872583576666668
512,64,128,16,4,2,2,11.237702793333334
512,64,128,16,4,2,4,42.67003316666666
512,64,128,16,4,4,2,10.934392576666665
512,64,128,16,4,4,4,31.467235946666662
512,64,128,16,4,8,2,11.237409913333332
512,64,128,16,4,8,4,6.476817453333333
512,64,128,16,4,16,2,10.968430636666666
512,64,128,16,4,16,4,55.63964418666668
512,64,128,16,8,2,2,6.346047186666667
512,64,128,16,8,2,4,12.093964546666665
512,64,128,16,8,2,8,50.70608100333334
512,64,128,16,8,4,2,6.373233626666667
512,64,128,16,8,4,4,11.529115596666667
512,64,128,16,8,4,8,4.302749973333333
512,64,128,16,8,8,2,6.36631963
512,64,128,16,8,8,4,9.043448609999999
512,64,128,16,8,8,8,74.37669956333333
512,64,128,16,8,16,2,6.13152603
512,64,128,16,8,16,4,78.83813130333333
512,64,128,16,8,16,8,75.85599781666666
512,64,128,16,16,2,2,5.842368713333333
512,64,128,16,16,2,4,8.572768730000002
512,64,128,16,16,2,8,4.7201566433333335
512,64,128,16,16,2,16,4.047348646666666
512,64,128,16,16,4,2,5.839496303333333
512,64,128,16,16,4,4,8.342407629999999
512,64,128,16,16,4,8,4.706593983333334
512,64,128,16,16,4,16,57.28071122333335
512,64,128,16,16,8,2,5.873810673333333
512,64,128,16,16,8,4,8.252205343333332
512,64,128,16,16,8,8,45.92548310666666
512,64,128,16,16,8,16,98.70816320666667
512,64,128,16,16,16,2,5.763446396666667
512,64,128,16,16,16,4,141.04300058
512,64,128,16,16,16,8,103.72434056
512,64,128,16,16,16,16,99.12512526666667
512,64,128,16,32,2,2,4.66831467
512,64,128,16,32,2,4,8.222591363333335
512,64,128,16,32,2,8,4.514647683333334
512,64,128,16,32,2,16,4.4681480166666665
512,64,128,16,32,4,2,4.6809143466666665
512,64,128,16,32,4,4,7.933422350000001
512,64,128,16,32,4,8,4.606887676666667
512,64,128,16,32,4,16,29.793931866666668
512,64,128,16,32,8,2,4.668250343333334
512,64,128,16,32,8,4,8.091546686666668
512,64,128,16,32,8,8,73.52752283333334
512,64,128,16,32,8,16,58.46259081666667
512,64,128,16,32,16,2,4.6675800433333325
512,64,128,16,32,16,4,232.73309804333334
512,64,128,16,32,16,8,188.52634997666667
512,64,128,16,32,16,16,123.50911964000001
512,64,128,32,2,2,2,6.775121336666667
512,64,128,32,2,4,2,6.8714396733333345
512,64,128,32,2,8,2,6.736404013333334
512,64,128,32,2,16,2,6.89183835
512,64,128,32,4,2,2,65.59505951
512,64,128,32,4,2,4,6.42255052
512,64,128,32,4,4,2,20.508144249999997
512,64,128,32,4,4,4,5.583614170000001
512,64,128,32,4,8,2,20.072543296666666
512,64,128,32,4,8,4,6.350891006666667
512,64,128,32,4,16,2,20.331015986666667
512,64,128,32,4,16,4,52.26725170666667
512,64,128,32,8,2,2,98.10668102
512,64,128,32,8,2,4,9.531751736666667
512,64,128,32,8,2,8,5.088291713333333
512,64,128,32,8,4,2,21.244115493333332
512,64,128,32,8,4,4,9.174497053333333
512,64,128,32,8,4,8,5.438936636666666
512,64,128,32,8,8,2,16.899586329999998
512,64,128,32,8,8,4,9.325651716666668
512,64,128,32,8,8,8,74.53858045
512,64,128,32,8,16,2,18.27910758
512,64,128,32,8,16,4,74.61588884333332
512,64,128,32,8,16,8,76.19368691333334
512,64,128,32,16,2,2,168.65781092
512,64,128,32,16,2,4,8.596521066666668
512,64,128,32,16,2,8,6.269837056666667
512,64,128,32,16,2,16,5.0139817099999995
512,64,128,32,16,4,2,20.777768823333336
512,64,128,32,16,4,4,9.232825733333332
512,64,128,32,16,4,8,5.938163703333333
512,64,128,32,16,4,16,57.13352468
512,64,128,32,16,8,2,15.737576053333333
512,64,128,32,16,8,4,8.53022203
512,64,128,32,16,8,8,44.48841565333333
512,64,128,32,16,8,16,98.84327850666666
512,64,128,32,16,16,2,16.811419286666666
512,64,128,32,16,16,4,142.98828652333333
512,64,128,32,16,16,8,102.41670854666665
512,64,128,32,16,16,16,98.73481656666667
512,64,128,32,32,2,2,21.847784119999996
512,64,128,32,32,2,4,10.47552063
512,64,128,32,32,2,8,6.1292659800000004
512,64,128,32,32,2,16,4.85444765
512,64,128,32,32,4,2,20.603945266666667
512,64,128,32,32,4,4,9.216587636666667
512,64,128,32,32,4,8,5.88156598
512,64,128,32,32,4,16,29.487023566666668
512,64,128,32,32,8,2,15.413461279999998
